SUBSCRIBER_ID,BNUM_OUT,BNUM_IN,PROD_CNT_MACRO,REV_BUN_MAC,REV_OUT,USAGE_OUT_INT_DUR,USAGE_OUT_OFFNET_DUR,USAGE_OUT_ONNET_DUR,LNE_TENURE,TOPUP_AMT,TOPUP_CNT,CHURN
2953,4.0,2.0,-1.0,-1.0,1.0,0.0,3.0,6.0,140,-1.0,-1.0,1
2954,2.0,2.0,-1.0,-1.0,1.0,0.0,2.0,3.0,86,-1.0,-1.0,0
2955,0.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,134,-1.0,-1.0,0
2956,3.0,3.0,-1.0,-1.0,3.0,0.0,3.0,16.0,117,3.0,1.0,0
2957,16.0,21.0,3.0,5.0,0.0,0.0,0.0,854.0,108,6.0,3.0,0
2958,18.0,17.0,-1.0,-1.0,14.0,0.0,61.0,46.0,115,15.0,2.0,0
2959,2.0,0.0,-1.0,-1.0,8.0,0.0,0.0,0.0,187,-1.0,-1.0,1
2960,0.0,2.0,-1.0,-1.0,2.4848619768477294,0.0,0.0,0.0,88,-1.0,-1.0,0
2961,27.0,25.0,0.0,-1.0,10.0,0.0,17.0,252.0,115,4.0,4.0,0
2962,2.0,4.0,-1.0,-1.0,1.0,0.0,0.0,8.0,127,-1.0,0.0,0
2963,8.0,43.0,1.0,1.0,1.0,0.0,2.0,63.0,166,4.0,2.0,0
2964,9.847960992907801,14.55252659574468,-1.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,158,-1.0,-1.0,0
2965,4.0,3.0,-1.0,-1.0,1.0,0.0,0.0,2.0,115,-1.0,-1.0,0
2966,13.0,7.0,2.0,1.0,1.0,0.0,0.0,155.0,93,2.0,3.0,0
2967,24.0,21.0,7.0,5.0,0.0,0.0,0.0,1146.0,162,5.0,7.0,0
2968,10.0,9.0,-1.0,-1.0,5.0,3.0,7.0,8.0,92,2.0,1.0,1
2969,25.0,30.0,3.0,2.0,0.0,0.0,0.0,261.0,149,2.0,2.0,0
2970,8.0,15.0,-1.0,-1.0,5.0,0.0,8.0,33.0,149,5.0,1.0,0
2971,2.0,7.0,-1.0,-1.0,0.0,0.0,0.0,0.0,135,-1.0,-1.0,0
2972,2.0,2.0,-1.0,-1.0,0.0,0.0,3.0,0.0,139,-1.0,-1.0,0
2973,1.0,2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,141,-1.0,-1.0,0
2974,10.0,12.0,1.0,1.0,0.0,0.0,1.0,63.0,79,1.0,1.0,0
2975,12.0,6.0,2.0,2.0,0.0,0.0,0.0,281.0,105,2.0,2.0,0
2976,7.0,11.0,-1.0,-1.0,5.0,4.0,26.0,1.0,156,10.0,1.0,1
2977,9.847960992907801,14.55252659574468,-1.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,188,-1.0,-1.0,0
2978,4.0,5.0,0.0,-1.0,2.0,0.0,0.0,7.0,117,10.0,1.0,0
2979,11.0,10.0,-1.0,-1.0,4.0,0.0,9.0,26.0,82,6.0,3.0,0
2980,18.0,20.0,4.0,7.0,1.0,0.0,0.0,208.0,88,8.0,4.0,0
2981,0.0,28.0,-1.0,-1.0,0.0,0.0,0.0,0.0,160,-1.0,-1.0,0
2982,3.0,0.0,-1.0,-1.0,1.0,0.0,4.0,6.0,115,2.0,1.0,0
2983,17.0,28.0,-1.0,-1.0,10.0,0.0,2.0,6.0,164,16.0,2.0,0
2984,7.0,7.0,-1.0,-1.0,4.0,0.0,0.0,0.0,137,3.0,2.0,1
2985,7.0,17.0,1.0,1.0,2.0,0.0,0.0,110.0,107,3.0,1.0,0
2986,45.0,44.0,0.0,-1.0,32.0,0.0,43.0,0.0,155,43.0,20.0,0
2987,10.0,12.0,-1.0,-1.0,6.0,0.0,25.0,24.0,160,8.0,2.0,0
2988,8.0,9.0,0.0,-1.0,1.0,0.0,2.0,6.0,82,-1.0,-1.0,0
2989,9.847960992907801,14.55252659574468,-1.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,114,-1.0,0.0,0
2990,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,112,-1.0,-1.0,1
2991,7.0,7.0,0.0,-1.0,1.0,0.0,0.0,3.0,187,-1.0,-1.0,0
2992,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,164,-1.0,-1.0,0
2993,1.0,2.0,-1.0,-1.0,0.0,0.0,1.0,0.0,187,-1.0,-1.0,1
2994,9.847960992907801,14.55252659574468,0.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,113,-1.0,-1.0,0
2995,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,110,-1.0,-1.0,0
2996,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,166,-1.0,-1.0,0
2997,4.0,19.0,-1.0,-1.0,0.0,0.0,0.0,1.0,189,-1.0,-1.0,0
2998,2.0,1.0,-1.0,-1.0,1.0,0.0,3.0,5.0,109,-1.0,-1.0,0
2999,9.847960992907801,14.55252659574468,-1.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,66,-1.0,-1.0,0
3000,1.0,3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,146,-1.0,-1.0,1
3001,0.0,18.0,0.0,-1.0,0.0,0.0,0.0,0.0,78,-1.0,-1.0,0
3002,26.0,36.0,0.0,-1.0,12.0,9.0,25.0,3.0,154,19.0,8.0,0
3003,25.0,29.0,4.0,8.0,1.0,0.0,1.0,446.0,150,10.0,4.0,0
3004,22.0,29.0,-1.0,-1.0,6.0,0.0,19.0,23.0,160,8.0,1.0,0
3005,0.0,9.0,0.0,-1.0,0.0,0.0,0.0,0.0,80,-1.0,-1.0,0
3006,7.0,7.0,-1.0,-1.0,8.0,0.0,68.0,9.0,111,15.0,3.0,0
3007,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,96,-1.0,-1.0,1
3008,8.0,5.0,-1.0,-1.0,10.0,5.0,9.0,0.0,70,10.0,1.0,1
3009,9.847960992907801,14.55252659574468,0.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,134,-1.0,-1.0,0
3010,2.0,8.0,0.0,-1.0,1.0,0.0,0.0,5.0,74,-1.0,-1.0,0
3011,2.0,1.0,0.0,-1.0,0.0,0.0,1.0,2.0,109,-1.0,-1.0,1
3012,0.0,6.0,0.0,-1.0,0.0,0.0,0.0,0.0,101,1.0,1.0,0
3013,10.0,11.0,-1.0,-1.0,2.0,0.0,12.0,4.0,93,4.0,2.0,0
3014,75.0,69.0,3.0,3.0,4.0,0.0,19.0,475.0,102,9.0,10.0,0
3015,6.0,15.0,0.0,-1.0,1.0,0.0,1.0,1.0,158,8.0,3.0,0
3016,6.0,8.0,-1.0,-1.0,0.0,0.0,0.0,15.32,86,-1.0,-1.0,0
3017,49.0,39.0,4.0,2.0,1.0,0.0,0.0,509.0,76,4.0,3.0,0
3018,2.0,4.0,-1.0,-1.0,0.0,0.0,0.0,1.0,100,-1.0,-1.0,0
3019,9.847960992907801,14.55252659574468,-1.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,144,-1.0,-1.0,0
3020,14.0,12.0,-1.0,-1.0,18.0,1.0,153.0,13.0,92,30.0,3.0,1
3021,20.0,109.0,2.0,8.0,1.0,0.0,9.0,34.0,114,11.0,4.0,0
3022,3.0,4.0,0.0,-1.0,0.0,0.0,1.0,0.0,109,-1.0,-1.0,0
3023,1.0,4.0,-1.0,-1.0,0.0,0.0,1.0,0.0,77,2.0,1.0,0
3024,1.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,105,-1.0,-1.0,1
3025,8.0,18.0,2.0,1.0,5.0,0.0,9.0,2.0,107,8.0,4.0,0
3026,15.0,14.0,-1.0,-1.0,8.0,4.0,8.0,33.0,116,10.0,12.0,0
3027,6.0,10.0,1.0,1.0,2.0,0.0,4.0,11.0,114,5.0,2.0,0
3028,6.0,25.0,0.0,-1.0,1.0,0.0,1.0,0.0,86,1.0,1.0,0
